,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.9803921568627451,0.08196721311475409,0.3465909090909091,0.4027777777777778,0.46965009302280275,0.585946587428853
RS ratio recall,0.34965034965034963,0.06097560975609756,0.9682539682539683,0.4027777777777778,0.45962664255347185,0.4027777777777778
RS ratio f1-score,0.5154639175257731,0.06993006993006994,0.5104602510460251,0.4027777777777778,0.3652847461672894,0.3875159783206627
RS diff precision,0.8225806451612904,0.4,0.5555555555555556,0.6354166666666666,0.5927120669056153,0.643850806451613
RS diff recall,0.7132867132867133,0.3170731707317073,0.873015873015873,0.6354166666666666,0.6344585856780979,0.6354166666666666
RS diff f1-score,0.7640449438202247,0.35374149659863946,0.6790123456790124,0.6354166666666666,0.5989329286992922,0.6286215536984665
GHI ratio precision,0.9811320754716981,0.1111111111111111,0.36809815950920244,0.4166666666666667,0.4867804486973372,0.5993166040022351
GHI ratio recall,0.36363636363636365,0.0975609756097561,0.9523809523809523,0.4166666666666667,0.4711927638756907,0.4166666666666667
GHI ratio f1-score,0.5306122448979592,0.1038961038961039,0.5309734513274337,0.4166666666666667,0.38849393337383226,0.4091956908802674
GHI diff precision,0.8760330578512396,0.47435897435897434,0.5393258426966292,0.6631944444444444,0.629905958302281,0.6880128168751765
GHI diff recall,0.7412587412587412,0.45121951219512196,0.7619047619047619,0.6631944444444444,0.6514610051195416,0.6631944444444444
GHI diff f1-score,0.803030303030303,0.46249999999999997,0.631578947368421,0.6631944444444444,0.632369750132908,0.6685687743664717
